rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio	minf0_loc_ms	minf0_loc_ratio
te	159.89191312820498	145.9646850062705	1.5777313268174264	154.82022582666372	149.58573645495002	70.36088050107449	90.00000000000009	-15.84647411045906	-14.59852630179482	0	0	90.00000000000009	1
χi	145.9646850062705	134.1722873982448	1.4583917008542722	134.4371759600452	135.10153066023204	62.03521310765075	120.00000000000011	-14.742044740045644	-8.89027383811846	0	0	120.00000000000011	1
mu	134.1722873982448	117.0412973188228	2.364828661033227	123.16107044519212	120.1327722618454	62.43859356236243	199.99999999999974	29.913405027233107	29.903405027233024	0	0	108.99904362267444	0.5449952181133729
hɛ	214.7262875522004	142.87029796135047	7.053513642047872	184.55401324052863	206.23839268890893	60.84655463322242	169.99999999999994	104.65768717638235	-42.63521247489831	113.49511097184539	0.6676182998343849	0	0
him	297.44230833442884	119.82009401710224	15.740880011764023	154.41802720664657	294.59923632482105	61.05935198751169	291.8783879470208	139.5231811491565	-36.5107120191112	215.95884273915632	0.7398932283343816	66.61131376778596	0.22821598487064637
uj	168.5485573125333	148.59854607660822	2.1809313406183213	153.87239213595265	158.13267370344704	74.20685105072118	140.0000000000001	-151.82901814201225	11.053002390989137	0	0	61.42296268168046	0.43873544772628864
ʁur	177.25509316629064	156.20684838485178	2.188432519488571	167.89254626805808	175.67922208443548	69.97246585664811	178.78532158213423	27.831886158051283	-4.652585139214361	130.80953346128243	0.7316570079898217	33.43640765508171	0.1870198703069758
ti	175.6938978929224	173.72029319375284	0.19557351007444268	175.20618404865678	174.86930622777643	63.01531324912091	104.33479088137787	1.7559957666688202	1.3082517203888737	91.16525599272896	0.8737761893477906	0	0
li	184.8750921643179	174.28031058955176	1.0216953252824208	180.0765131341413	184.58778816587142	70.70488947724587	102.75583296400681	15.359496807133796	-1.2411101463894454	76.64347454204457	0.745879550885361	13.857584283726077	0.13485934456470314
ɡy	168.20332798504543	143.49408831530982	2.750579381761555	150.59753464026926	146.31586186398016	67.02737430399463	125.61216336796832	-63.16269550521791	-3.941789963540746	0	0	125.61216336796832	1
zɛl	160.97266120690153	141.40079264261493	2.2443057793831898	153.72076682625203	158.08057627011817	68.81177055824102	240.06672078532577	-36.05414061217124	-36.02293202333565	161.7409737129054	0.6737334237073976	18.219160116481614	0.07589206890851684
bir	145.1671150352203	124.02142475341459	2.7255036690395564	133.5014652552358	126.06225247807497	64.15689643954947	175.18748789944817	28.984891482798226	24.2562379665589	0	0	117.38011364738554	0.6700256682415462
til	169.1545269494876	128.45849790196965	4.764473466076702	151.69485998591762	129.37203873550038	63.78239713301266	430.63135431576694	-50.66411644964173	-5.6489981261764335	244.51909653797264	0.5678153578168749	430.63135431576694	1
na	129.00037886815417	125.54872708883333	0.46953481524370577	127.54264327887296	128.6273366243847	65.89533832411588	169.99999999999994	6.2952119047765995	0.6767150399703169	129.83443843037534	0.763731990766914	74.95114747021958	0.4408891027659977
